sample_id,decision,destination,notes
p09-MOA-001,supplerende prøvetaking,,Nye prøver tas for å se på arsen-nivået. Tilstandsklasse IV for arsen
p09-MOA-002,gjenbruk,,Kan disponeres som planlagt. Lett/moderat forurenset
p09-MOA-003,supplerende prøvetaking,,"Blandet med prøve 4, nye prøver tas"
p09-MOA-004,deponi,,Må kjøres til godkjent deponi. Oljeutslipp er entreprenørens ansvar
p09-MOA-T1,gjenbruk,,Kan benyttes i anlegget. Profil 9850-9900
p09-MOA-T2,deponi,,Må kjøres til godkjent deponi. Oljeutslipp - profil 9900-9950
p09-MOA-D1,deponi,,Kan ikke benyttes i anlegget. Grøftemasser på deponi
p09-MOA-D2,deponi,,Kan ikke benyttes i anlegget. Grøftemasser på deponi
