param_code,parameter,p09-MOA-001 (mg/kg),p09-MOA-002 (mg/kg),p09-MOA-003 (mg/kg),p09-MOA-004 (mg/kg),p09-MOA-D1 (mg/kg),p09-MOA-D2 (mg/kg),p09-MOA-T1 (mg/kg),p09-MOA-T2 (mg/kg)
PCB28,PCB 28,<0.0030,<0.0030,<0.0030,<0.0030,<0.0010,<0.0010,<0.0010,<0.0010
PCB52,PCB 52,<0.0030,<0.0030,<0.0030,<0.0030,<0.0010,<0.0010,<0.0010,<0.0010
PCB7,Sum PCB-7,<0,<0,<0,<0,<0,<0,<0,<0
PEST_Lindane,g-HCH (Lindan),<0.0010,<0.0010,<0.0010,<0.0010,,,,
PEST_op-DDD,"o,p'-DDD",<0.010,<0.010,<0.010,<0.010,,,,
PEST_op-DDE,"o,p'-DDE",<0.010,<0.010,<0.010,<0.010,,,,
PEST_op-DDT,"o,p'-DDT",<0.010,<0.010,<0.010,<0.010,,,,
PEST_pp-DDD,"p,p'-DDD",<0.010,<0.010,<0.010,<0.010,,,,
PEST_pp-DDE,"p,p'-DDE",<0.010,<0.010,<0.010,<0.010,,,,
PEST_pp-DDT,"p,p'-DDT",<0.010,<0.010,<0.010,<0.010,,,,
Pb,Bly,5.5,4.5,3.5,4.6,3,2,3,6
Pyren,Pyren,<0.010,<0.010,<0.010,0.013,<0.010,<0.010,<0.010,0.013
THC C10-C12,Fraksjon >C10-C12,<2,<2,<2,<2,<10,<10,<10,<10
THC C12-C16,Fraksjon >C12-C16,<3,3.4,3.5,6.9,<10,<10,<10,<10
THC C12-C35,Sum >C12-C35,140,217,182,620,230,310,490,670
THC C16-C35,Fraksjon >C16-C35,140,214,178,613,230,310,490,670
THC C5-C6,Fraksjon >C5-C6,<7,<7,<7,<7,<2.5,<2.5,<2.5,<2.5
THC C6-C8,Fraksjon >C6-C8,<7,<7,<7,<7,<7,<7,<7,<7
THC C8-C10,Fraksjon >C8-C10,<10,<10,<10,<10,<10,<10,<10,<10
Toluen,Toluen,<0.100,<0.100,<0.100,<0.100,<0.040,<0.040,<0.040,<0.040
"VOC_1,1,1-TCA","1,1,1-Trikloretan",<0.010,<0.010,<0.010,<0.010,,,,
"VOC_1,1,2-TCA","1,1,2-Trikloretan",<0.010,<0.010,<0.010,<0.010,,,,
"VOC_1,2-DCA","1,2-Dikloretan",<0.0030,<0.0030,<0.0030,<0.0030,,,,
VOC_CCl4,Tetraklormetana,<0.010,<0.010,<0.010,<0.010,,,,
VOC_Chloroform,Triklormetan (kloroform),<0.020,<0.020,<0.020,<0.020,,,,
VOC_DCM,Diklormetana,<0.060,<0.060,<0.060,<0.060,,,,
VOC_EDB,"1,2-Dibrometan",<0.0040,<0.0040,<0.0040,<0.0040,,,,
VOC_PCE,Tetrakloreten,<0.010,<0.010,<0.010,<0.010,,,,
VOC_TCE,Trikloreten,<0.010,<0.010,<0.010,<0.010,,,,
Xylen,Xylener,<0.015,<0.015,<0.015,<0.015,<0.040,<0.040,<0.040,<0.040
Zn,Sink,170,190,102,188,200,200,100,230
