sample_name,included,matches_filter,order_number,sample_date,description
Bunnrenskprøver 8560,Yes,Yes,NO2500215,2024-12-18,Bunnrenskprøver pel. 8760 - 8560
Bunnrenskprøver 8610,Yes,Yes,NO2500215,2024-12-18,Bunnrenskprøver pel. 8760 - 8560
Bunnrenskprøver 8660,Yes,Yes,NO2500215,2024-12-18,Bunnrenskprøver pel. 8760 - 8560
Bunnrenskprøver 8710,Yes,Yes,NO2500215,2024-12-18,Bunnrenskprøver pel. 8760 - 8560
Dag 0,No,No,NO2429146,2024-11-21,Sprengsteinsprøver
Dag 4,No,No,NO2429146,2024-11-25,Sprengsteinsprøver
Dag 8,No,No,NO2429146,2024-12-02,Sprengsteinsprøver
Elise Roalkvam,No,No,NO2309577,2023-05-08,Slam fra slambassenget. Tatt fra skuff. Prøve tatt samme dag som slambilen leverte slammet til Fossum.
Esso Sandfang (ES) 2 Nord,No,No,NO2315726,2023-07-31,Avgrensende prøve - alifat forurensning
Esso Sandfang 1 - nord,No,No,NO2309899,2023-05-10,Avgrensning mot tidligere forurensning. Begge prøvetakingspunkt og område hvor sandfanger var kunne en se skille mot stedlige masser/leire.
Esso Sandfang 1 - sør,No,No,NO2309899,2023-05-10,Avgrensning mot tidligere forurensning. Begge prøvetakingspunkt og område hvor sandfanger var kunne en se skille mot stedlige masser/leire.
Esso sandfang 2 sør,No,No,NO2314861,2023-07-10,Avgrensende prøve - alifat forurensning
Esso sør,No,No,NO2314861,2023-07-10,Avgrensende prøve - alifat forurensning
Filterkake fra Jetpeling,No,No,NO2221147,2022-10-17,Filterkake fra jetpeling
Før søl. Beholder: biohydraulikkolje,No,No,NO2415780,2024-07-10,
Før søl. Beholder: hydraulikkolje,No,No,NO2415780,2024-07-10,
Grøftekant 9010,Yes,Yes,NO2418537,2024-08-21,Grøft 9010
Grøfteslam,Yes,Yes,NO2501241,2025-01-20,Utkjørt slam.
HVXA 46 Blanding,No,No,NO2500903,2025-01-15,
HVXA 46 Blanding 24t,No,No,NO2501013,2025-01-16,
Hydro 10 Blanding,No,No,NO2500903,2025-01-15,
Hydro 10 Blanding 24t,No,No,NO2501013,2025-01-16,
Høviktoppen dag 2,No,No,NO2501363,2025-01-21,"Bunnrensk pel. 8760 - 8560, 2. test utendørs ."
Ikke kartlagt oljetank - Esso Ramstadsletta,No,No,NO2219984,2022-10-04,Kartlegging av forurensning Esso - Ramstadsletta
Ikke vasket pigget fjell,No,No,NO2325556,2023-10-20,Bare analyse av benzene
JNB,No,No,NO2404324,2024-02-29,"Jord langs E18, nord"
JSB,No,No,NO2404324,2024-02-29,"Jord langs E18, sør"
KC 5,No,No,NO2320473,2023-09-26,"0-1,2m"
KC 6,No,No,NO2320473,2023-09-26,"0-1,3m"
KC1,No,No,NO2316227,2023-08-09,0-3 m vertikal prøve
KC2,No,No,NO2316227,2023-08-09,0-1.4 m vertikal prøve
KC3,No,No,NO2316227,2023-08-09,0-1.2 m vertikal prøve
KC4,No,No,NO2316227,2023-08-09,0-1 m vertikal prøve
Kalka slam 1,No,No,NO2506133,2025-03-14,
Kalka slam 2 Kolonnetest,No,No,NO2506119,2025-03-14,L/S=0.1
Kalka slam 2 Ristetest/TOC,No,No,NO2506119,2025-03-13,
Kalket slam,No,No,NO2508787,2025-04-09,Kalket slam fra tunell
Kalket slam Kolonnetest,No,No,NO2511656,2025-05-12,L/S=0.1
Kalket slam med tilstandsklasse,No,No,NO2511653,2025-05-12,Kalket slam
Kalket slam ristetest,No,No,NO2511656,2025-05-12,Kalket slam Riste/kolonnetest
M280 - Sør 1,No,No,NO2221574,2022-10-19,"0 - 0,7"
M280 - øst,No,No,NO2221574,2022-10-19,"1 - 1,4"
M280 nord,No,No,NO2314862,2023-07-04,
M280 vest,No,No,NO2314862,2023-07-04,
Master Finish  MF Blanding,No,No,NO2500903,2025-01-15,
Master Finish  MF Blanding 24t,No,No,NO2501013,2025-01-16,
Master Finish MF 29/1,No,No,NO2502066,2025-01-29,Test kilde benzen
Master finish,No,No,NO2509597,2025-04-24,Master finish
Matrise,No,No,NO2509597,2025-04-24,Matrise
