sample_id,project_code,sample_date,location_type,profile_start,profile_end,tunnel_name,sample_type,lab_reference,sampler,remark
p01-HTØP8470,01_e18-e102,2024-08-30,vegbane,8460.0,8520.0,Høviktunnelen,bunnrensk,NO2419800/172665,Skanska,
p01-BR-HØ-8550,01_e18-e102,2025-03-17,vegbane,8520.0,8570.0,Høviktunnelen,bunnrensk,NO2506289 / 186409,Skanska,
p01-BR-HØ-8580,01_e18-e102,2025-03-17,vegbane,8570.0,8620.0,Høviktunnelen,bunnrensk,NO2506289 / 186409,Skanska,
p01-BR-HØ-8650,01_e18-e102,2025-03-17,vegbane,8620.0,8670.0,Høviktunnelen,bunnrensk,NO2506289 / 186409,Skanska,
p01-BR-HØ-8700,01_e18-e102,2025-07-04,vegbane,8670.0,88720.0,Høviktunnelen,bunnrensk,NO2516866,Skanska,
p01-BR-HØ-8735,01_e18-e102,2025-07-04,vegbane,8720.0,8770.0,Høviktunnelen,bunnrensk,NO2516866,Skanska,
p01-BR-HØ-8800,01_e18-e102,2025-07-04,vegbane,8770.0,8820.0,Høviktunnelen,bunnrensk,NO2516866,Skanska,
p01-BR-HØ-8850,01_e18-e102,2025-07-04,vegbane,8820.0,8870.0,Høviktunnelen,bunnrensk,NO2516866,Skanska,
p01-BR-HØ-8900,01_e18-e102,2025-07-04,vegbane,8870.0,8920.0,Høviktunnelen,bunnrensk,NO2516866,Skanska,
p01-BR-HTV-grøft_P7650-7700-1,01_e18-e102,2025-04-09,grøft,7700.0,7610.0,Høviktunnelen,bunnrensk,NO2508768 / 188922,Skanska,
p01-BR-HTV-grøft_P7650-7700-2,01_e18-e102,2025-04-23,grøft,7700.0,7610.0,Høviktunnelen,bunnrensk,NO2509482 / 188997,Skanska,
p01-BR-HTV-grøft_P7650-7700-3,01_e18-e102,2025-05-07,grøft,7700.0,7610.0,Høviktunnelen,bunnrensk,NO2510880 / 190192,Skanska,
p01-BR-HTVgrøfttrase8-4,01_e18-e102,2025-05-20,grøft,7700.0,7610.0,Høviktunnelen,bunnrensk,NO2512025,Skanska,
p01-BR-HV-7460,01_e18-e102,2025-04-10,vegbane,7460.0,7480.0,Høviktunnelen,bunnrensk,NO2508846 / 188715,Skanska,
p01-BR-HV-7510,01_e18-e102,2025-04-10,vegbane,7480.0,7530.0,Høviktunnelen,bunnrensk,NO2508846 / 188715,Skanska,
p01-BR-HV-7550,01_e18-e102,2025-04-23,vegbane,7530.0,7555.0,Høviktunnelen,bunnrensk,NO2509480 / 188996,Skanska,
p01-BR-HV-7560ute1,01_e18-e102,2025-04-30,vegbane,7555.0,7565.0,Høviktunnelen,bunnrensk,NO2510217 /189646,Skanska,
p01-BR-HV-7570,01_e18-e102,2025-04-23,vegbane,7565.0,7580.0,Høviktunnelen,bunnrensk,NO2509480 / 188996,Skanska,
p01-BR-HV-7610,01_e18-e102,2025-04-10,vegbane,7580.0,7630.0,Høviktunnelen,bunnrensk,NO2508846 / 188715,Skanska,
p01-BR-HV-7660,01_e18-e102,2025-04-10,vegbane,7630.0,7680.0,Høviktunnelen,bunnrensk,NO2508846 / 188715,Skanska,
p01-BR-HV-7710,01_e18-e102,2025-04-10,vegbane,7680.0,7730.0,Høviktunnelen,bunnrensk,NO2508846 / 188715,Skanska,
p01-BR-HV-7760,01_e18-e102,2025-04-10,vegbane,7730.0,7780.0,Høviktunnelen,bunnrensk,NO2508846 / 188715,Skanska,
p01-BR-HV-7810,01_e18-e102,2025-04-10,vegbane,7780.0,7830.0,Høviktunnelen,bunnrensk,NO2508846 / 188715,Skanska,
p01-BR-HTV-7860,01_e18-e102,2025-05-20,vegbane,7830.0,7880.0,Høviktunnelen,bunnrensk,NO2512025 / 	191418,Skanska,
p01-BR-HV-7910,01_e18-e102,2025-06-12,vegbane,7880.0,7940.0,Høviktunnelen,bunnrensk,NO2514313 / 193999,Skanska,
p01-BR-Pumpesump,01_e18-e102,2025-05-07,pumpesump,,,Høviktunnelen,bunnrensk,,Skanska,
p01-BR-HTV-kornfordeling,01_e18-e102,2025-05-16,vegbane,,,Høviktunnelen,bunnrensk,NO25115,Skanska,
