sample_id,parameter,parameter_raw,value,unit,uncertainty,below_limit,loq,analysis_type
p01-HTØP8470,As,Arsen,8.7,mg/kg,,False,,totalanalyse
p01-HTØP8470,Cd,Kadmium,0.02,mg/kg,,True,0.02,totalanalyse
p01-HTØP8470,Cr,Krom,88.0,mg/kg,,False,,totalanalyse
p01-HTØP8470,Cu,Kopper,49.0,mg/kg,,False,,totalanalyse
p01-HTØP8470,Hg,Kvikksølv,0.017,mg/kg,,False,,totalanalyse
p01-HTØP8470,Ni,Nikkel,120.0,mg/kg,,False,,totalanalyse
p01-HTØP8470,Pb,Bly,4.3,mg/kg,,False,,totalanalyse
p01-HTØP8470,Zn,Sink,58.0,mg/kg,,False,,totalanalyse
p01-HTØP8470,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse
p01-HTØP8470,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse
p01-HTØP8470,PAH16,Sum PAH-16,0.028,mg/kg,,False,,totalanalyse
p01-HTØP8470,Benzen,Benzen,0.03,mg/kg,,False,,totalanalyse
p01-HTØP8470,Toluen,Toluen*,0.04,mg/kg,,True,0.04,totalanalyse
p01-HTØP8470,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse
p01-HTØP8470,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse
p01-HTØP8470,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse
p01-HTØP8470,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse
p01-HTØP8470,Alifater C12-C35,Sum alifater > C12-C35,46.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8550,As,Arsen,6.6,mg/kg,,False,,totalanalyse
p01-BR-HØ-8550,Cd,Kadmium,0.02,mg/kg,,True,0.02,totalanalyse
p01-BR-HØ-8550,Cr,Krom,78.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8550,Cu,Kopper,30.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8550,Hg,Kvikksølv,0.01,mg/kg,,True,0.01,totalanalyse
p01-BR-HØ-8550,Ni,Nikkel,110.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8550,Pb,Bly,10.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8550,Zn,Sink,49.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8550,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse
p01-BR-HØ-8550,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse
p01-BR-HØ-8550,PAH16,Sum PAH-16,0.042,mg/kg,,False,,totalanalyse
p01-BR-HØ-8550,Benzen,Benzen,0.036,mg/kg,,False,,totalanalyse
p01-BR-HØ-8550,Toluen,Toluen*,0.04,mg/kg,,True,0.04,totalanalyse
p01-BR-HØ-8550,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse
p01-BR-HØ-8550,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse
p01-BR-HØ-8550,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse
p01-BR-HØ-8550,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse
p01-BR-HØ-8550,Alifater C12-C35,Sum alifater > C12-C35,10.0,mg/kg,,True,10.0,totalanalyse
p01-BR-HØ-8580,As,Arsen,8.9,mg/kg,,False,,totalanalyse
p01-BR-HØ-8580,Cd,Kadmium,0.036,mg/kg,,False,,totalanalyse
p01-BR-HØ-8580,Cr,Krom,62.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8580,Cu,Kopper,34.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8580,Hg,Kvikksølv,0.011,mg/kg,,False,,totalanalyse
p01-BR-HØ-8580,Ni,Nikkel,93.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8580,Pb,Bly,13.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8580,Zn,Sink,57.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8580,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse
p01-BR-HØ-8580,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse
p01-BR-HØ-8580,PAH16,Sum PAH-16,0.059,mg/kg,,False,,totalanalyse
p01-BR-HØ-8580,Benzen,Benzen,0.04,mg/kg,,False,,totalanalyse
p01-BR-HØ-8580,Toluen,Toluen*,0.04,mg/kg,,True,0.04,totalanalyse
p01-BR-HØ-8580,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse
p01-BR-HØ-8580,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse
p01-BR-HØ-8580,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse
p01-BR-HØ-8580,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse
p01-BR-HØ-8580,Alifater C12-C35,Sum alifater > C12-C35,25.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8650,As,Arsen,5.9,mg/kg,,False,,totalanalyse
p01-BR-HØ-8650,Cd,Kadmium,0.02,mg/kg,,True,0.02,totalanalyse
p01-BR-HØ-8650,Cr,Krom,63.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8650,Cu,Kopper,35.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8650,Hg,Kvikksølv,0.01,mg/kg,,True,0.01,totalanalyse
p01-BR-HØ-8650,Ni,Nikkel,91.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8650,Pb,Bly,13.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8650,Zn,Sink,55.0,mg/kg,,False,,totalanalyse
p01-BR-HØ-8650,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse
p01-BR-HØ-8650,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse
p01-BR-HØ-8650,PAH16,Sum PAH-16,0.071,mg/kg,,False,,totalanalyse
p01-BR-HØ-8650,Benzen,Benzen,0.044,mg/kg,,False,,totalanalyse
p01-BR-HØ-8650,Toluen,Toluen*,0.04,mg/kg,,True,0.04,totalanalyse
p01-BR-HØ-8650,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse
p01-BR-HØ-8650,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse
p01-BR-HØ-8650,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse
p01-BR-HØ-8650,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse
p01-BR-HØ-8650,Alifater C12-C35,Sum alifater > C12-C35,10.0,mg/kg,,True,10.0,totalanalyse
p01-BR-HØ-8700,As,Arsen,5.9,mg/kg,,False,,totalanalyse
p01-BR-HØ-8700,Cd,Kadmium,0.066,mg/kg,,False,,totalanalyse
p01-BR-HØ-8700,Cr,Krom,96.0,mg/kg,,False,,totalanalyse
